,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1781,1005827,Sarita,P00036842,F,26-35,33,1,Maharashtra,Western,IT Sector,Food,1,15771.0,,
1783,1004933,Schmidt,P00052042,F,26-35,31,1,Uttar Pradesh,Central,Food Processing,Food,2,15769.0,,
1784,1004966,Dodson,P00329542,F,51-55,53,0,Uttar Pradesh,Central,Aviation,Food,4,15769.0,,
1785,1002565,Kean,P00196142,F,36-45,40,1,Delhi,Central,Hospitality,Food,4,15768.0,,
1786,1003801,Kendrick,P00130642,F,18-25,24,1,Maharashtra,Western,Govt,Food,4,15768.0,,
1788,1001545,Pranjali,P00145942,F,26-35,31,0,Karnataka,Southern,Retail,Food,4,15765.0,,
1789,1003688,Craig,P00304442,F,18-25,20,1,Uttar Pradesh,Central,IT Sector,Food,4,15765.0,,
1790,1001757,Eleni,P00028542,F,26-35,35,0,Karnataka,Southern,Banking,Food,4,15764.0,,
1791,1003999,Thomas,P00046842,F,36-45,38,1,Madhya Pradesh,Central,Lawyer,Food,2,15764.0,,
1792,1002057,Arti,P00093642,F,36-45,44,0,Uttar Pradesh,Central,IT Sector,Food,1,15763.0,,
1793,1000392,Cooley,P00277642,F,18-25,21,0,Delhi,Central,Food Processing,Food,4,15762.0,,
1795,1005074,MacKendrick,P00350142,F,0-17,12,1,Maharashtra,Western,Govt,Food,2,15757.0,,
1796,1005083,Laura,P00265242,F,26-35,30,1,Bihar,Eastern,Healthcare,Food,1,15756.0,,
1797,1005638,Akancha,P00274342,F,18-25,25,1,Madhya Pradesh,Central,Chemical,Food,1,15756.0,,
1799,1001202,Diwakar,P00250342,F,36-45,37,0,Delhi,Central,Food Processing,Food,3,15754.0,,
1800,1005184,Zic,P00357042,F,18-25,21,1,Uttar Pradesh,Central,Agriculture,Food,1,15754.0,,
1801,1004425,Indulekha,P00008342,F,36-45,43,1,Andhra Pradesh,Southern,IT Sector,Food,2,15752.0,,
1803,1002774,Vijay,P00212042,F,26-35,29,1,Bihar,Eastern,Lawyer,Food,4,15750.0,,
1804,1004972,Barcio,P00022942,F,36-45,44,1,Maharashtra,Western,Banking,Food,3,15750.0,,
1805,1005504,Ashmeet,P00002442,F,46-50,47,0,Uttar Pradesh,Central,Healthcare,Food,1,15749.0,,
1807,1001033,Shweta,P00198042,F,26-35,31,0,Maharashtra,Western,Healthcare,Food,1,15748.0,,
1808,1001647,Norvell,P00113942,F,18-25,24,0,Uttar Pradesh,Central,Aviation,Food,4,15747.0,,
1809,1003280,Keith,P00079742,F,26-35,29,0,Jharkhand,Eastern,Aviation,Food,4,15745.0,,
1812,1004425,Indulekha,P00073842,F,36-45,38,0,Maharashtra,Western,Automobile,Food,1,15742.0,,
1813,1004644,Pournamasi,P00217742,F,51-55,53,0,Karnataka,Southern,IT Sector,Food,3,15741.0,,
1814,1004687,MaryBeth,P00061142,F,36-45,41,1,Maharashtra,Western,Healthcare,Food,3,15741.0,,
1815,1000131,Megha,P00126142,F,18-25,19,1,Uttar Pradesh,Central,Food Processing,Food,1,15739.0,,
1816,1001449,Dorris,P00274542,F,36-45,44,0,Uttar Pradesh,Central,Healthcare,Food,1,15739.0,,
1818,1003051,Moren,P00001942,F,18-25,22,0,Madhya Pradesh,Central,Agriculture,Food,2,15737.0,,
1819,1005235,D'Ascenzo,P00346242,F,26-35,31,1,Uttar Pradesh,Central,Chemical,Food,2,15737.0,,
1821,1004343,Swetlana,P00014042,F,26-35,26,1,Madhya Pradesh,Central,Aviation,Food,2,15734.0,,
1825,1003769,Berenike,P00069042,F,26-35,35,0,Uttar Pradesh,Central,Construction,Food,2,15731.0,,
1827,1000823,Dowd,P00136542,F,26-35,33,0,Madhya Pradesh,Central,Retail,Food,4,15729.0,,
1828,1000877,Sanjova,P00115242,F,26-35,30,0,Maharashtra,Western,IT Sector,Food,4,15729.0,,
1831,1005501,Trupti,P00150942,F,26-35,27,0,Maharashtra,Western,Aviation,Food,2,15723.0,,
1835,1004122,Aastha,P00216942,F,18-25,18,1,Karnataka,Southern,Govt,Food,2,15718.0,,
1836,1000911,Jaydeep,P00342742,F,51-55,54,1,Karnataka,Southern,Media,Food,3,15717.0,,
1837,1004334,Akash,P00233442,F,26-35,35,0,Madhya Pradesh,Central,Lawyer,Food,3,15715.0,,
1838,1004748,Yohann,P00273742,F,46-50,48,1,Madhya Pradesh,Central,IT Sector,Food,1,15715.0,,
1839,1004495,Lichtenstein,P00118042,F,18-25,25,0,Maharashtra,Western,IT Sector,Food,4,15714.0,,
1840,1005826,Srishti,P00248842,F,18-25,21,1,Uttar Pradesh,Central,Aviation,Food,2,15711.0,,
1841,1004786,Liston,P00177442,F,46-50,47,0,Maharashtra,Western,Healthcare,Food,3,15710.0,,
1843,1002457,Latchford,P00002142,F,26-35,29,0,Uttar Pradesh,Central,Chemical,Food,2,15707.0,,
1844,1003032,Matthias,P00210342,F,26-35,34,1,Bihar,Eastern,Chemical,Food,2,15703.0,,
1845,1005886,Kunitz,P00148642,F,26-35,33,0,Maharashtra,Western,Healthcare,Food,1,15703.0,,
1846,1000963,Monu,P00313142,F,26-35,33,0,Madhya Pradesh,Central,Govt,Food,4,15702.0,,
1847,1005083,Laura,P00183342,F,26-35,32,0,Karnataka,Southern,Govt,Food,3,15701.0,,
1848,1001753,Piyali,P00069042,F,36-45,45,0,Gujarat,Western,IT Sector,Food,4,15699.0,,
1849,1004788,Bern,P00223942,F,36-45,40,0,Maharashtra,Western,Aviation,Food,2,15699.0,,
1850,1005074,MacKendrick,P00177342,F,0-17,17,1,Delhi,Central,Aviation,Food,4,15697.0,,
1851,1000161,Chloris,P00106042,F,46-50,46,0,Karnataka,Southern,Hospitality,Food,2,15697.0,,
1852,1004627,Rosenblatt,P00085142,F,55+,76,1,Maharashtra,Western,Healthcare,Food,3,15696.0,,
1853,1000702,Deirdre,P00062842,F,36-45,45,1,Maharashtra,Western,IT Sector,Food,3,15695.0,,
1854,1005441,Caudle,P00005742,F,51-55,51,1,Madhya Pradesh,Central,Aviation,Food,2,15694.0,,
1855,1006021,Ashmi,P00085942,F,26-35,33,0,Uttar Pradesh,Central,Food Processing,Food,2,15694.0,,
1857,1005543,Philisse,P00112142,F,26-35,30,0,Haryana,Northern,Media,Food,2,15691.0,,
1858,1003563,Becky,P00205942,F,26-35,27,1,Maharashtra,Western,Banking,Food,3,15691.0,,
1859,1003824,Dilbeck,P00145442,F,26-35,31,0,Maharashtra,Western,Chemical,Food,1,15690.0,,
1860,1000549,Sharda,P00161442,F,26-35,30,0,Rajasthan,Northern,Banking,Food,4,15690.0,,
1861,1003051,Moren,P00004242,F,18-25,24,0,Andhra Pradesh,Southern,Retail,Food,1,15689.0,,
1862,1002472,Claudia,P00119742,F,26-35,31,0,Andhra Pradesh,Southern,Agriculture,Food,2,15689.0,,
1863,1004962,Namrata,P00251242,F,26-35,27,0,Maharashtra,Western,Media,Food,1,15689.0,,
1864,1000509,Rohan,P00265242,F,26-35,28,1,Maharashtra,Western,IT Sector,Food,2,15689.0,,
1866,1004562,Burns,P00248542,F,36-45,39,0,Uttar Pradesh,Central,Govt,Food,1,15682.0,,
1867,1006002,Denny,P00136842,F,51-55,53,0,Uttar Pradesh,Central,Aviation,Food,3,15678.0,,
1868,1004967,Pippenger,P00150942,F,18-25,19,0,Haryana,Northern,Healthcare,Food,3,15677.0,,
1871,1004802,Patil,P00089242,F,55+,65,0,Maharashtra,Western,Aviation,Food,4,15675.0,,
1872,1005074,MacKendrick,P00195842,F,0-17,17,0,Uttar Pradesh,Central,Healthcare,Food,2,15675.0,,
1874,1002664,percer,P00221142,F,36-45,38,0,Himachal Pradesh,Northern,Banking,Food,3,15674.0,,
1875,1003652,Willingham,P00074242,F,26-35,27,0,Delhi,Central,Textile,Food,4,15672.0,,
1876,1003651,Kotsonis,P00116142,F,26-35,28,0,Maharashtra,Western,IT Sector,Food,3,15671.0,,
1877,1000515,DeCherney,P00108442,F,26-35,30,1,Uttar Pradesh,Central,Banking,Food,1,15670.0,,
1878,1004074,Zuschuss,P00115542,F,36-45,42,1,Karnataka,Southern,Automobile,Food,3,15669.0,,
1879,1002116,Stuti,P00135442,F,18-25,25,0,Uttar Pradesh,Central,Automobile,Food,2,15669.0,,
1880,1000984,Ben,P00288442,F,51-55,51,1,Haryana,Northern,Automobile,Food,2,15668.0,,
1881,1001980,Christina,P00269642,F,36-45,38,0,Uttar Pradesh,Central,Healthcare,Food,3,15668.0,,
1882,1003990,Cathy,P00123842,F,26-35,33,0,Madhya Pradesh,Central,Healthcare,Food,2,15666.0,,
1883,1003724,Devendra,P00128342,F,36-45,41,1,Delhi,Central,IT Sector,Food,4,15665.0,,
1884,1005312,Brooke,P00154642,F,26-35,35,1,Karnataka,Southern,Retail,Food,2,15665.0,,
1885,1004139,Ulpright,P00033042,F,55+,63,0,Madhya Pradesh,Central,IT Sector,Food,2,15665.0,,
1886,1003661,Nandita,P00118742,F,36-45,42,0,Andhra Pradesh,Southern,Healthcare,Food,2,15664.0,,
1887,1002235,Kishwar,P00265542,F,0-17,15,1,Delhi,Central,Govt,Food,1,15662.0,,
1888,1001112,Abelman,P00083242,F,18-25,24,0,Delhi,Central,IT Sector,Food,3,15661.0,,
1891,1005264,Barbara,P00000142,F,18-25,22,0,Uttar Pradesh,Central,Retail,Food,4,15659.0,,
1893,1003145,Ballentine,P00119842,F,18-25,22,0,Maharashtra,Western,Hospitality,Food,4,15657.0,,
1894,1004556,Zic,P00119242,F,46-50,46,0,Karnataka,Southern,Govt,Food,3,15655.0,,
1895,1004833,Chandni,P00216342,F,36-45,37,0,Karnataka,Southern,Textile,Food,2,15654.0,,
1896,1005738,O'Donnell,P00280742,F,26-35,29,0,Uttar Pradesh,Central,Media,Food,4,15654.0,,
1897,1004153,Heidel,P00237542,F,51-55,51,1,Haryana,Northern,Banking,Food,1,15653.0,,
1898,1004589,Dunbar,P00129642,F,26-35,28,1,Uttar Pradesh,Central,Media,Food,1,15653.0,,
1900,1004310,Shaun,P00236642,F,26-35,32,0,Madhya Pradesh,Central,Hospitality,Food,3,15651.0,,
1901,1000604,Pistek,P00168842,F,46-50,46,0,Maharashtra,Western,Chemical,Food,2,15650.0,,
1902,1000669,Jesslyn,P00054942,F,26-35,27,1,Uttar Pradesh,Central,IT Sector,Food,3,15650.0,,
1903,1004904,Priyanshu,P00275642,F,51-55,53,1,Uttar Pradesh,Central,Chemical,Food,1,15650.0,,
1904,1001843,Maribeth,P00324942,F,26-35,26,0,Madhya Pradesh,Central,Govt,Food,3,15648.0,,
1905,1002872,Girase,P00055542,F,26-35,28,0,Maharashtra,Western,Media,Food,1,15647.0,,
1906,1005680,Mary,P00112142,F,51-55,55,1,Maharashtra,Western,Banking,Food,3,15647.0,,
1907,1004743,Cox,P00083942,F,55+,73,1,Madhya Pradesh,Central,Govt,Food,3,15646.0,,
1910,1002063,Shreyshi,P00187942,F,26-35,29,0,Karnataka,Southern,Banking,Food,4,15644.0,,
1912,1001752,Crestani,P00151742,F,26-35,26,0,Maharashtra,Western,Banking,Food,3,15641.0,,
1913,1005437,Mitchum,P00059442,F,26-35,33,0,Haryana,Northern,Lawyer,Food,2,15639.0,,
1914,1001681,Harold,P00177642,F,18-25,22,1,Uttar Pradesh,Central,Agriculture,Food,4,15639.0,,
1916,1002799,Adrian,P00000142,F,18-25,19,1,Delhi,Central,Media,Food,1,15633.0,,
1917,1003884,Catlett,P00227642,F,18-25,25,1,Karnataka,Southern,Aviation,Food,2,15633.0,,
1919,1002700,Ankit,P00148642,F,26-35,28,1,Uttar Pradesh,Central,Chemical,Food,4,15633.0,,
1921,1001767,Manju,P00033942,F,26-35,29,0,Uttar Pradesh,Central,Textile,Food,4,15631.0,,
1922,1002342,Rashmi,P00368642,F,36-45,45,0,Uttar Pradesh,Central,Retail,Food,4,15631.0,,
1923,1005504,Ashmeet,P00013142,F,46-50,46,0,Bihar,Eastern,Media,Food,1,15630.0,,
1924,1004374,Neha,P00059742,F,18-25,23,0,Uttar Pradesh,Central,Hospitality,Food,4,15627.0,,
1925,1000533,Akash,P00146742,F,26-35,27,0,Karnataka,Southern,Healthcare,Food,4,15626.0,,
1926,1000881,Beeghly,P00045842,F,18-25,18,0,Maharashtra,Western,Media,Food,3,15626.0,,
1928,1002236,Sharda,P00364242,F,0-17,12,0,Uttar Pradesh,Central,IT Sector,Food,1,15624.0,,
1929,1001015,Bharat,P00026042,F,36-45,37,1,Maharashtra,Western,Lawyer,Food,3,15623.0,,
1931,1001252,McMahon,P00105642,F,55+,61,0,Karnataka,Southern,Retail,Food,4,15622.0,,
1932,1002302,Leslie,P00145642,F,51-55,52,0,Haryana,Northern,Banking,Food,2,15617.0,,
1934,1001130,Vivian,P00221142,F,18-25,23,1,Maharashtra,Western,Automobile,Food,2,15617.0,,
1935,1004343,Swetlana,P00042142,F,26-35,35,0,Maharashtra,Western,Healthcare,Food,1,15617.0,,
1936,1001752,Crestani,P00183242,F,26-35,33,0,Haryana,Northern,Banking,Food,1,15615.0,,
1937,1000575,Katherine,P00304642,F,26-35,28,1,Maharashtra,Western,Healthcare,Food,2,15615.0,,
1939,1001044,Badders,P00116842,F,26-35,30,1,Delhi,Central,Lawyer,Food,2,15613.0,,
1941,1003400,Ramesh,P00044442,F,26-35,31,1,Uttar Pradesh,Central,IT Sector,Food,1,15613.0,,
1942,1002348,Noopur,P00339942,F,51-55,53,1,Uttar Pradesh,Central,Lawyer,Food,4,15611.0,,
1943,1000278,Cindy,P00115042,F,46-50,46,1,Maharashtra,Western,Food Processing,Food,1,15610.0,,
1944,1003507,Brenda,P00164642,F,26-35,27,1,Maharashtra,Western,IT Sector,Food,3,15609.0,,
1945,1003476,Lalita,P00190242,F,51-55,54,1,Maharashtra,Western,Banking,Food,3,15609.0,,
1946,1001069,Krutika,P00201242,F,26-35,30,0,Uttar Pradesh,Central,Banking,Food,3,15607.0,,
1947,1004780,Arindam,P00270942,F,26-35,32,1,Uttar Pradesh,Central,IT Sector,Food,4,15607.0,,
1948,1000881,Beeghly,P00071242,F,18-25,23,1,Karnataka,Southern,Media,Food,3,15606.0,,
1949,1000762,Ducich,P00127442,F,0-17,17,1,Uttar Pradesh,Central,Lawyer,Food,3,15605.0,,
1950,1002927,Savi,P00275842,F,26-35,33,0,Karnataka,Southern,Govt,Food,3,15603.0,,
1951,1005837,Kunst,P00268442,F,26-35,35,0,Uttar Pradesh,Central,Chemical,Food,3,15601.0,,
1952,1000646,Aarushi,P00042142,F,36-45,44,0,Karnataka,Southern,Healthcare,Food,4,15600.0,,
1953,1005738,O'Donnell,P00281942,F,26-35,35,0,Maharashtra,Western,Hospitality,Food,4,15599.0,,
1954,1003261,Carter,P00041342,F,46-50,46,1,Uttar Pradesh,Central,IT Sector,Food,2,15599.0,,
1955,1002380,Swati,P00192042,F,26-35,33,0,Uttar Pradesh,Central,Aviation,Food,3,15598.0,,
1956,1001040,Smriti,P00271142,F,26-35,26,0,Uttar Pradesh,Central,Aviation,Food,4,15597.0,,
1957,1002469,MacAllister,P00241042,F,26-35,29,1,Bihar,Eastern,Banking,Food,4,15596.0,,
1960,1001807,Häberlin,P00073642,F,18-25,22,1,Madhya Pradesh,Central,Govt,Food,1,15595.0,,
1962,1005437,Mitchum,P00156742,F,26-35,28,0,Bihar,Eastern,IT Sector,Food,4,15593.0,,
1963,1000208,Deirdre,P00200642,F,36-45,43,0,Uttar Pradesh,Central,Chemical,Food,4,15593.0,,
1964,1003808,Vishakha,P00169642,F,26-35,26,0,Delhi,Central,Healthcare,Food,4,15592.0,,
1965,1003526,Kartikay,P00195342,F,36-45,40,0,Maharashtra,Western,Aviation,Food,2,15592.0,,
1968,1004041,Fritzler,P00159542,F,18-25,20,0,Madhya Pradesh,Central,Hospitality,Food,1,15588.0,,
1969,1005689,Dorothy,P00214342,F,26-35,28,0,Uttar Pradesh,Central,Lawyer,Food,1,15586.0,,
1970,1001695,Catlett,P00127342,F,26-35,33,0,Madhya Pradesh,Central,Automobile,Food,4,15585.0,,
1971,1004310,Shaun,P00110742,F,26-35,30,0,Andhra Pradesh,Southern,Construction,Food,3,15583.0,,
1972,1005664,Dean,P00178842,F,18-25,22,0,Bihar,Eastern,Aviation,Food,3,15582.0,,
1973,1002841,Gunjal,P0097342,F,51-55,55,1,Uttar Pradesh,Central,Chemical,Food,2,15582.0,,
1974,1003208,Bowman,P00115942,F,26-35,33,0,Maharashtra,Western,Media,Food,1,15581.0,,
1977,1000352,Maris,P00127642,F,18-25,23,1,Maharashtra,Western,Govt,Food,4,15573.0,,
1978,1002752,Matt,P00232342,F,26-35,31,1,Uttar Pradesh,Central,IT Sector,Food,1,15573.0,,
1979,1002927,Savi,P00021642,F,26-35,28,1,Bihar,Eastern,Banking,Food,3,15572.0,,
1981,1004156,Christine,P00066542,F,55+,67,0,Haryana,Northern,Media,Food,3,15571.0,,
1983,1002208,Ashmi,P00155742,F,26-35,33,0,Bihar,Eastern,Retail,Food,2,15569.0,,
1984,1005880,Zettner,P00128242,F,26-35,29,0,Delhi,Central,Hospitality,Food,4,15567.0,,
1985,1003206,Dan,P00051642,F,18-25,18,0,Maharashtra,Western,Healthcare,Food,4,15567.0,,
1986,1001860,Benoit,P00362642,F,55+,56,1,Maharashtra,Western,Govt,Food,3,15567.0,,
1987,1001219,Monica,P00137542,F,26-35,26,1,Uttar Pradesh,Central,Retail,Food,3,15566.0,,
1988,1001372,Cheatham,P00157142,F,0-17,13,1,Madhya Pradesh,Central,Agriculture,Food,3,15564.0,,
1989,1001134,Bertelson,P00070042,F,18-25,18,0,Maharashtra,Western,Construction,Food,1,15564.0,,
1990,1003621,Navdeep,P00200142,F,18-25,18,0,Maharashtra,Western,Construction,Food,2,15564.0,,
1991,1000877,Sanjova,P00026042,F,26-35,31,0,Delhi,Central,Aviation,Food,1,15562.0,,
1992,1003576,Alejandro,P00287842,F,51-55,55,1,Maharashtra,Western,Media,Food,4,15562.0,,
1993,1001884,Eugene,P00365242,F,46-50,49,0,Haryana,Northern,Media,Food,1,15561.0,,
1994,1005927,Vandana,P00240142,F,36-45,44,1,Uttar Pradesh,Central,Lawyer,Food,3,15561.0,,
1995,1001218,Jaideep,P00111942,F,55+,75,0,Uttar Pradesh,Central,Aviation,Food,1,15561.0,,
1997,1004089,Reichenbach,P00279542,F,26-35,29,1,Uttar Pradesh,Central,Aviation,Food,3,15559.0,,
1998,1003620,Catini,P00030842,F,26-35,30,0,Maharashtra,Western,Banking,Food,4,15558.0,,
1999,1005394,Cari,P00120042,F,18-25,24,0,Andhra Pradesh,Southern,Healthcare,Food,1,15557.0,,
2001,1005000,Caudle,P00102542,F,26-35,35,0,Haryana,Northern,Food Processing,Food,4,15556.0,,
2002,1001061,Packer,P00110842,F,46-50,46,1,Haryana,Northern,Aviation,Food,3,15556.0,,
2003,1003798,Kartik,P00359142,F,26-35,35,1,Karnataka,Southern,Automobile,Food,4,15556.0,,
2004,1005026,Stuti,P00041342,F,26-35,35,0,Uttar Pradesh,Central,Banking,Food,4,15555.0,,
2005,1002124,Linda,P00344042,F,26-35,35,1,Uttar Pradesh,Central,Banking,Food,2,15554.0,,
2006,1005954,Charlotte,P00191642,F,46-50,47,0,Karnataka,Southern,IT Sector,Food,3,15551.0,,
2007,1003001,McFarland,P00132042,F,18-25,20,0,Bihar,Eastern,Automobile,Food,1,15549.0,,
2008,1000877,Sanjova,P00129042,F,26-35,33,0,Uttar Pradesh,Central,IT Sector,Food,1,15549.0,,
2009,1000093,Amruta,P00028442,F,26-35,29,0,Karnataka,Southern,Media,Food,4,15545.0,,
2013,1002768,Snehal,P00283942,F,26-35,30,0,Delhi,Central,Govt,Food,4,15542.0,,
2014,1001298,Siddharth,P00045842,F,36-45,39,1,Karnataka,Southern,Media,Food,1,15542.0,,
2015,1001748,Alejandro,P00329042,F,51-55,51,1,Bihar,Eastern,Govt,Food,1,15541.0,,
2016,1001714,Applegate,P00112142,F,26-35,33,1,Delhi,Central,IT Sector,Food,1,15541.0,,
2018,1003600,Damala,P00214342,F,36-45,44,1,Maharashtra,Western,Construction,Food,2,15540.0,,
2020,1002620,Turumella,P00255842,F,18-25,25,1,Uttar Pradesh,Central,Media,Food,3,15539.0,,
2021,1005111,Amisha,P00303142,F,36-45,39,0,Uttar Pradesh,Central,Hospitality,Food,1,15537.0,,
2022,1002124,Linda,P00150142,F,26-35,28,1,Delhi,Central,Textile,Food,1,15536.0,,
2023,1001119,Avish,P00240842,F,36-45,40,1,Telangana,Southern,IT Sector,Food,4,15536.0,,
2024,1002946,Ellis,P00208742,F,36-45,36,0,Uttar Pradesh,Central,Food Processing,Food,4,15536.0,,
2025,1004447,Ajay,P00285242,F,46-50,48,0,Uttar Pradesh,Central,Healthcare,Food,4,15536.0,,
2026,1000604,Pistek,P00286642,F,46-50,50,0,Telangana,Southern,Retail,Food,3,15535.0,,
2027,1002071,Erin,P00028842,F,46-50,47,1,Karnataka,Southern,Lawyer,Food,2,15534.0,,
2028,1001752,Crestani,P00249642,F,26-35,26,1,Maharashtra,Western,Construction,Food,4,15534.0,,
2029,1003311,Neola,P00024942,F,26-35,32,0,Maharashtra,Western,IT Sector,Food,1,15534.0,,
2030,1003768,Braxton,P00251942,F,26-35,32,0,Andhra Pradesh,Southern,Govt,Food,2,15533.0,,
2031,1002786,Nancy,P00100942,F,26-35,28,0,Karnataka,Southern,Banking,Food,1,15533.0,,
2032,1005468,Kshitij,P00107642,F,26-35,32,1,Haryana,Northern,Aviation,Food,1,15531.0,,
2034,1003454,Amlan,P00093642,F,18-25,18,1,Uttar Pradesh,Central,IT Sector,Food,2,15531.0,,
2036,1001069,Krutika,P00049642,F,26-35,28,0,Karnataka,Southern,Media,Food,4,15529.0,,
2038,1005046,Derr,P00178642,F,26-35,33,1,Uttar Pradesh,Central,Healthcare,Food,1,15528.0,,
2039,1000157,Michelle,P00237542,F,36-45,40,1,Bihar,Eastern,IT Sector,Food,1,15527.0,,
2040,1002302,Leslie,P00138542,F,51-55,54,0,Himachal Pradesh,Northern,IT Sector,Food,3,15524.0,,
2042,1004115,Barreto,P00101042,F,26-35,31,1,Madhya Pradesh,Central,Aviation,Food,4,15522.0,,
2043,1003391,Rose,P00128742,F,18-25,20,0,Haryana,Northern,Aviation,Food,4,15519.0,,
2046,1001023,Kimberly,P00313542,F,55+,89,0,Uttar Pradesh,Central,IT Sector,Food,1,15519.0,,
2047,1002536,Krohn,P00156742,F,55+,63,1,Maharashtra,Western,Banking,Food,1,15517.0,,
2048,1001425,Sudevi,P00212842,F,0-17,17,0,Maharashtra,Western,Construction,Food,1,15516.0,,
2049,1006007,Jennifer,P00285942,F,36-45,40,1,Maharashtra,Western,Aviation,Food,2,15516.0,,
2050,1001952,Rob,P00199442,F,36-45,44,0,Maharashtra,Western,Chemical,Food,1,15516.0,,
2051,1004054,Hitesh,P00177642,F,36-45,37,0,Uttar Pradesh,Central,Lawyer,Food,2,15516.0,,
2052,1005914,Pamela,P00054242,F,36-45,44,1,Karnataka,Southern,Chemical,Food,1,15515.0,,
2053,1003546,Nockton,P00067942,F,26-35,33,0,Karnataka,Southern,Healthcare,Food,2,15513.0,,
2054,1004867,Chandni,P00334242,F,26-35,32,0,Uttar Pradesh,Central,Chemical,Food,3,15513.0,,
2056,1001138,Utkarsh,P00361842,F,18-25,20,0,Delhi,Central,Textile,Food,3,15509.0,,
2057,1005193,Ausman,P00307542,F,36-45,39,0,Delhi,Central,Hospitality,Food,3,15508.0,,
2059,1003859,Sanskriti,P00182142,F,26-35,32,1,Andhra Pradesh,Southern,Hospitality,Food,3,15507.0,,
2060,1004897,Becker,P00062842,F,36-45,45,0,Karnataka,Southern,Retail,Food,2,15507.0,,
2061,1000293,Chapman,P00018242,F,55+,69,0,Delhi,Central,Healthcare,Food,2,15506.0,,
2063,1001465,Baptist,P00154642,F,51-55,54,0,Delhi,Central,Healthcare,Food,4,15505.0,,
2064,1000566,Divyansh,P00310842,F,26-35,26,1,Bihar,Eastern,Aviation,Food,4,15504.0,,
2065,1004144,Edward,P00073842,F,18-25,19,1,Maharashtra,Western,Govt,Food,4,15504.0,,
2066,1005795,Conant,P00219742,F,26-35,28,0,Maharashtra,Western,Banking,Food,2,15503.0,,
2067,1000350,Karl,P00138542,F,46-50,49,0,Gujarat,Western,Retail,Food,1,15502.0,,
2068,1003129,Palak,P00329242,F,26-35,33,1,Uttar Pradesh,Central,Construction,Food,2,15500.0,,
2069,1002342,Rashmi,P00073842,F,36-45,43,0,Andhra Pradesh,Southern,Banking,Food,2,15499.0,,
2071,1005011,Anurag,P00218042,F,18-25,22,0,Maharashtra,Western,Construction,Food,4,15496.0,,
2073,1005557,Cynthia,P00002542,F,36-45,41,1,Maharashtra,Western,IT Sector,Food,1,15492.0,,
2074,1003872,Shefali,P00025942,F,26-35,33,1,Uttar Pradesh,Central,Automobile,Food,3,15492.0,,
2075,1002872,Girase,P00213242,F,26-35,33,0,Uttar Pradesh,Central,Hospitality,Food,3,15492.0,,
2076,1004679,Divyeta,P00085342,F,55+,63,1,Karnataka,Southern,Hospitality,Food,1,15491.0,,
2078,1001978,Sathya,P00183242,F,0-17,14,0,Uttar Pradesh,Central,Retail,Food,3,15488.0,,
2082,1005277,Patricia,P00148642,F,26-35,31,0,Andhra Pradesh,Southern,Banking,Food,3,15485.0,,
2083,1000438,Bhosale,P00058042,F,18-25,20,0,Rajasthan,Northern,Hospitality,Food,4,15485.0,,
2084,1001010,Bremer,P00297842,F,26-35,30,0,Maharashtra,Western,Healthcare,Food,1,15482.0,,
2086,1000595,Rawles,P00017542,F,26-35,33,1,Maharashtra,Western,Aviation,Food,1,15480.0,,
2088,1004279,Soumya,P00069242,F,26-35,26,0,Andhra Pradesh,Southern,IT Sector,Food,3,15477.0,,
2090,1002986,Boyes,P00002942,F,26-35,26,0,Karnataka,Southern,Aviation,Food,4,15477.0,,
2093,1002000,Lycoris,P00110942,F,18-25,20,0,Madhya Pradesh,Central,Healthcare,Food,3,15474.0,,
2094,1005132,Justin,P00114742,F,36-45,40,0,Maharashtra,Western,Healthcare,Food,2,15474.0,,
2095,1002242,Shruti,P00058142,F,18-25,19,0,Telangana,Southern,IT Sector,Food,2,15474.0,,
2096,1005501,Trupti,P00271142,F,26-35,29,0,Karnataka,Southern,Lawyer,Food,2,15473.0,,
2097,1004718,Vaibhav,P00273442,F,36-45,38,1,Maharashtra,Western,Aviation,Food,4,15473.0,,
2098,1004917,Jumper,P00285842,F,46-50,46,1,Maharashtra,Western,Aviation,Food,4,15473.0,,
2102,1004051,Xylona,P00173742,F,18-25,20,1,Maharashtra,Western,Lawyer,Food,1,15472.0,,
2103,1001360,Darrin,P00185442,F,26-35,26,0,Telangana,Southern,Retail,Food,1,15472.0,,
2104,1000733,Bhawna,P00086742,F,36-45,41,1,Uttar Pradesh,Central,IT Sector,Food,3,15472.0,,
2105,1000591,Herbert,P00173542,F,26-35,33,1,Bihar,Eastern,IT Sector,Food,4,15470.0,,
2106,1001413,Nguyen,P00085342,F,18-25,20,0,Delhi,Central,Govt,Food,3,15470.0,,
2107,1003099,Shahid,P00207042,F,26-35,28,0,Gujarat,Western,Chemical,Food,1,15470.0,,
2109,1005100,Spruell,P00102342,F,51-55,54,1,Maharashtra,Western,Media,Food,3,15470.0,,
2112,1004042,Phillina,P00270942,F,36-45,42,1,Gujarat,Western,Hospitality,Food,3,15467.0,,
2113,1001263,Bhishm,P00278442,F,0-17,13,1,Karnataka,Southern,Healthcare,Food,4,15466.0,,
2114,1005882,Moss,P00057642,F,36-45,38,1,Bihar,Eastern,Aviation,Food,2,15465.0,,
